Elapsed time,AECG1,AECG2,AECG3,AECG4
'0:01.913',22.6,10.5,-7.9,4.5
'0:01.914',21.6,8.4,-7.7,3.9
'0:01.915',20.5,6.3,-7.5,3.3
'0:01.916',19.4,4.1,-7.2,2.7
'0:01.917',18.3,2,-6.9,2.2
'0:01.918',17.2,0.4,-6.6,1.7
'0:01.919',16.2,-0.7,-6.2,1.3
'0:01.920',15.2,-1.2,-5.9,0.9
'0:01.921',14.2,-1.3,-5.4,0.8
'0:01.922',13.3,-1.2,-5.1,0.7
'0:01.923',12.3,-0.8,-4.6,0.7
'0:01.924',11.5,-0.3,-4.2,0.7
'0:01.925',10.7,0.4,-3.9,0.8
'0:01.926',9.8,1.3,-3.5,0.8
'0:01.927',9.1,2.2,-3.1,0.9
'0:01.928',8.4,3,-2.7,1
'0:01.929',7.7,3.5,-2.3,1
'0:01.930',7.1,3.8,-2,1.1
'0:01.931',6.5,3.9,-1.7,1.2
'0:01.932',6,4,-1.5,1.3
'0:01.933',5.5,4.2,-1.3,1.4
'0:01.934',5,4.4,-1.1,1.4
'0:01.935',4.6,4.6,-0.9,1.3
'0:01.936',4.2,4.6,-0.7,1.3
'0:01.937',3.7,4.4,-0.5,1.2
'0:01.938',3.2,4,-0.3,1.1
'0:01.939',2.8,3.6,-0.2,0.9
'0:01.940',2.4,3.3,-0.1,0.7
'0:01.941',2.2,3.3,0,0.3
'0:01.942',2.1,3.3,0.1,0.1
'0:01.943',2,3.4,0.2,-0.2
'0:01.944',2,3.5,0.2,-0.4
'0:01.945',2,3.5,0.2,-0.5
'0:01.946',1.9,3.4,0.3,-0.5
'0:01.947',1.9,3.3,0.2,-0.5
'0:01.948',1.8,2.9,0.2,-0.4
'0:01.949',1.8,2.5,0.2,-0.2
'0:01.950',1.9,2.1,0.1,0.2
'0:01.951',2.1,1.5,0.1,0.6
'0:01.952',2.2,0.9,0,1
'0:01.953',2.4,0,-0.1,1.3
'0:01.954',2.4,-1,-0.2,1.5
'0:01.955',2.5,-2.1,-0.3,1.8
'0:01.956',2.6,-3.2,-0.4,1.9
'0:01.957',2.6,-4.1,-0.4,2
'0:01.958',2.7,-4.8,-0.4,2
'0:01.959',2.7,-5.5,-0.4,1.8
'0:01.960',2.8,-5.9,-0.5,1.5
'0:01.961',2.8,-6.1,-0.7,1.2
'0:01.962',2.8,-6,-0.8,0.8
'0:01.963',2.8,-5.5,-0.9,0.4
'0:01.964',2.9,-4.7,-1,-0.1
'0:01.965',2.9,-3.9,-1,-0.7
'0:01.966',2.9,-3.1,-1,-1.2
'0:01.967',2.9,-2.4,-1,-1.6
'0:01.968',2.8,-1.8,-0.9,-1.8
'0:01.969',2.8,-1.2,-0.9,-1.7
'0:01.970',2.8,-0.7,-0.9,-1.4
'0:01.971',2.8,-0.4,-0.9,-1.1
'0:01.972',2.8,-0.1,-0.9,-0.7
'0:01.973',2.7,-0.1,-0.9,-0.4
'0:01.974',2.7,-0.2,-0.9,0
'0:01.975',2.6,-0.4,-0.9,0.4
'0:01.976',2.5,-0.5,-0.9,0.8
'0:01.977',2.5,-0.6,-0.9,1.1
'0:01.978',2.5,-0.5,-0.9,1.3
'0:01.979',2.5,-0.5,-0.9,1.4
'0:01.980',2.5,-0.4,-1,1.4
'0:01.981',2.5,-0.5,-1,1.3
'0:01.982',2.6,-0.7,-1,1.1
'0:01.983',2.6,-1,-1,0.9
'0:01.984',2.6,-1.3,-1.1,0.7
'0:01.985',2.6,-1.5,-1.1,0.3
'0:01.986',2.6,-1.7,-1.1,-0.1
'0:01.987',2.6,-1.8,-1.1,-0.5
'0:01.988',2.6,-1.9,-1.2,-0.8
'0:01.989',2.6,-2.1,-1.2,-1.1
'0:01.990',2.6,-2.4,-1.2,-1.3
'0:01.991',2.7,-2.8,-1.2,-1.5
'0:01.992',2.7,-3.1,-1.2,-1.7
'0:01.993',2.7,-3.3,-1.2,-1.9
'0:01.994',2.7,-3.5,-1.1,-2
'0:01.995',2.7,-3.6,-1.1,-2.1
'0:01.996',2.6,-3.7,-1,-2.2
'0:01.997',2.5,-3.9,-0.9,-2.3
'0:01.998',2.5,-4.1,-0.9,-2.3
'0:01.999',2.5,-4.2,-0.8,-2.3
'0:02.000',2.4,-4.1,-0.8,-2.2
'0:02.001',2.4,-3.8,-0.8,-2
'0:02.002',2.4,-3.5,-0.9,-1.7
'0:02.003',2.4,-3.2,-0.9,-1.4
'0:02.004',2.3,-2.9,-0.8,-1.1
'0:02.005',2.3,-2.7,-0.8,-0.8
'0:02.006',2.2,-2.3,-0.8,-0.4
'0:02.007',2,-2,-0.7,-0.1
'0:02.008',1.9,-1.7,-0.7,0.2
'0:02.009',1.8,-1.6,-0.8,0.4
'0:02.010',1.8,-1.8,-0.8,0.7
'0:02.011',1.8,-2.1,-0.8,0.8
'0:02.012',1.8,-2.3,-0.9,0.8
'0:02.013',1.8,-2.5,-0.9,0.8
'0:02.014',1.7,-2.6,-1,0.6
'0:02.015',1.6,-2.8,-1,0.4
'0:02.016',1.6,-3.1,-1.1,0.1
'0:02.017',1.6,-3.5,-1.2,-0.3
'0:02.018',1.7,-3.9,-1.3,-0.7
'0:02.019',1.8,-4.2,-1.3,-1.1
'0:02.020',1.9,-4.4,-1.3,-1.5
'0:02.021',2.1,-4.6,-1.4,-1.9
'0:02.022',2.2,-4.9,-1.4,-2.3
'0:02.023',2.3,-5.2,-1.4,-2.7
'0:02.024',2.3,-5.5,-1.4,-3.1
'0:02.025',2.4,-5.9,-1.5,-3.4
'0:02.026',2.5,-6.3,-1.5,-3.7
'0:02.027',2.5,-6.7,-1.5,-3.9
'0:02.028',2.6,-7.3,-1.6,-4.1
'0:02.029',2.6,-7.9,-1.6,-4.3
'0:02.030',2.5,-8.3,-1.6,-4.5
'0:02.031',2.5,-8.5,-1.7,-4.5
'0:02.032',2.5,-8.6,-1.7,-4.4
'0:02.033',2.5,-8.9,-1.8,-4.1
'0:02.034',2.5,-9.3,-1.8,-3.8
'0:02.035',2.6,-9.7,-1.9,-3.4
'0:02.036',2.6,-9.6,-2,-3.1
'0:02.037',2.6,-9.1,-2.1,-2.8
'0:02.038',2.6,-8.2,-2.1,-2.4
'0:02.039',2.5,-7.2,-2.2,-2
'0:02.040',2.5,-6.5,-2.3,-1.7
'0:02.041',2.6,-6,-2.3,-1.5
'0:02.042',2.6,-5.5,-2.4,-1.5
'0:02.043',2.7,-4.9,-2.4,-1.5
'0:02.044',2.8,-4.4,-2.4,-1.5
'0:02.045',2.9,-4.2,-2.4,-1.5
'0:02.046',2.9,-4.3,-2.4,-1.6
'0:02.047',3,-4.7,-2.5,-1.7
'0:02.048',3.1,-5.2,-2.5,-1.8
'0:02.049',3.2,-5.6,-2.6,-2.1
'0:02.050',3.3,-6,-2.6,-2.3
'0:02.051',3.4,-6.5,-2.7,-2.5
'0:02.052',3.5,-6.9,-2.9,-2.7
'0:02.053',3.6,-7.3,-3,-2.9
'0:02.054',3.7,-7.5,-3.1,-3.2
'0:02.055',3.7,-7.5,-3.1,-3.4
'0:02.056',3.7,-7.4,-3.2,-3.6
'0:02.057',3.6,-7.3,-3.3,-3.6
'0:02.058',3.6,-7.2,-3.3,-3.6
'0:02.059',3.5,-7.1,-3.4,-3.7
'0:02.060',3.5,-6.9,-3.5,-3.9
'0:02.061',3.4,-6.7,-3.6,-4.2
'0:02.062',3.2,-6.5,-3.7,-4.5
'0:02.063',3.1,-6.5,-3.7,-4.7
'0:02.064',3,-6.5,-3.8,-4.8
'0:02.065',3,-6.5,-3.8,-4.9
'0:02.066',3.2,-6.5,-3.8,-5.2
'0:02.067',3.3,-6.6,-3.8,-5.3
'0:02.068',3.4,-6.8,-3.8,-5.4
'0:02.069',3.4,-7,-3.8,-5.4
'0:02.070',3.5,-7.3,-3.8,-5.3
'0:02.071',3.6,-7.6,-3.9,-5.2
'0:02.072',3.6,-7.9,-3.9,-5.1
'0:02.073',3.7,-8.2,-3.9,-5.1
'0:02.074',3.7,-8.5,-3.9,-5.1
'0:02.075',3.7,-8.7,-3.9,-5
'0:02.076',3.7,-8.9,-3.9,-4.9
'0:02.077',3.8,-9.1,-3.9,-4.9
'0:02.078',3.9,-9.1,-4,-4.8
'0:02.079',4,-9.1,-4,-4.8
'0:02.080',4.1,-9.1,-4,-4.8
'0:02.081',4.1,-9.1,-4.1,-4.7
'0:02.082',4.2,-9.2,-4.2,-4.6
'0:02.083',4.1,-9.2,-4.3,-4.6
'0:02.084',4.1,-9.2,-4.4,-4.6
'0:02.085',4.1,-9.2,-4.5,-4.6
'0:02.086',4.1,-9.1,-4.6,-4.6
'0:02.087',4.1,-9.1,-4.7,-4.6
'0:02.088',4.1,-9.1,-4.7,-4.6
'0:02.089',4,-9.2,-4.8,-4.7
'0:02.090',3.9,-9.1,-4.9,-4.8
'0:02.091',3.8,-9.1,-4.9,-4.9
'0:02.092',3.6,-9,-4.9,-4.9
'0:02.093',3.4,-9.1,-4.9,-5
'0:02.094',3.3,-9.1,-4.9,-5.1
'0:02.095',3.2,-9.2,-4.9,-5.1
'0:02.096',3.2,-9.3,-4.9,-5.3
'0:02.097',3.1,-9.3,-4.9,-5.5
'0:02.098',3,-9.3,-4.9,-5.7
'0:02.099',3,-9.3,-4.9,-5.9
'0:02.100',3.1,-9.2,-4.9,-6.1
'0:02.101',3.3,-9.2,-4.9,-6.4
'0:02.102',3.4,-9.1,-4.9,-6.6
'0:02.103',3.6,-9.1,-4.9,-6.8
'0:02.104',3.7,-9.1,-4.9,-6.9
'0:02.105',3.8,-9.1,-4.9,-7
'0:02.106',3.9,-9.2,-5,-6.9
'0:02.107',4,-9.4,-5,-6.9
'0:02.108',4.1,-9.6,-5.1,-6.7
'0:02.109',4.2,-9.6,-5.1,-6.6
'0:02.110',4.1,-9.7,-5.1,-6.5
'0:02.111',4,-9.7,-5.1,-6.3
'0:02.112',3.9,-9.7,-5.1,-6
'0:02.113',3.9,-9.8,-5.1,-5.6
'0:02.114',3.9,-9.9,-5.1,-5.3
'0:02.115',3.8,-10,-5.1,-4.9
'0:02.116',3.8,-10,-5.1,-4.6
'0:02.117',3.7,-10,-5,-4.4
'0:02.118',3.7,-10.1,-4.9,-4.2
'0:02.119',3.6,-10.1,-4.9,-4.1
'0:02.120',3.6,-10.3,-4.8,-3.9
'0:02.121',3.7,-10.4,-4.7,-3.7
'0:02.122',3.8,-10.5,-4.6,-3.6
'0:02.123',3.9,-10.6,-4.5,-3.7
'0:02.124',4,-10.6,-4.5,-3.9
'0:02.125',4,-10.7,-4.4,-4.2
'0:02.126',3.9,-10.8,-4.3,-4.5
'0:02.127',3.8,-10.9,-4.3,-4.7
'0:02.128',3.8,-11,-4.2,-4.8
'0:02.129',3.8,-11.1,-4.2,-5
'0:02.130',3.6,-11.4,-4.2,-5.2
'0:02.131',3.3,-11.9,-4.1,-5.4
'0:02.132',2.9,-12.4,-4,-5.7
'0:02.133',2.7,-12.6,-3.9,-5.8
'0:02.134',2.7,-12.6,-3.8,-5.9
'0:02.135',2.7,-12.4,-3.7,-6.1
'0:02.136',2.6,-12.5,-3.6,-6.3
'0:02.137',2.1,-13,-3.5,-6.5
'0:02.138',1.3,-13.8,-3.4,-6.6
'0:02.139',0.6,-14.6,-3.3,-6.8
'0:02.140',0.1,-15,-3.1,-7
'0:02.141',-0.2,-15,-3,-7.2
'0:02.142',-0.4,-14.8,-2.8,-7.3
'0:02.143',-0.7,-14.6,-2.6,-7.3
'0:02.144',-1.1,-14.4,-2.3,-7.1
'0:02.145',-1.5,-14.2,-2.1,-6.8
'0:02.146',-1.7,-14,-1.9,-6.5
'0:02.147',-1.9,-13.6,-1.7,-6.1
'0:02.148',-2.1,-13.3,-1.5,-5.7
'0:02.149',-2.3,-13,-1.3,-5.2
'0:02.150',-2.7,-12.8,-1.2,-4.6
'0:02.151',-3,-12.5,-1.1,-4
'0:02.152',-3.3,-12.2,-1,-3.5
'0:02.153',-3.5,-12,-1,-3.1
'0:02.154',-3.7,-11.9,-0.8,-2.7
'0:02.155',-3.9,-11.9,-0.7,-2.4
'0:02.156',-4,-12.1,-0.6,-2.2
'0:02.157',-4.2,-12.4,-0.5,-2.2
'0:02.158',-4.4,-12.7,-0.4,-2.2
'0:02.159',-4.5,-13.2,-0.3,-2.3
'0:02.160',-4.6,-13.7,-0.1,-2.5
'0:02.161',-4.7,-14.3,0.1,-2.7
'0:02.162',-4.7,-14.8,0.3,-3
'0:02.163',-4.7,-15.2,0.5,-3.4
'0:02.164',-4.8,-15.4,0.7,-3.7
'0:02.165',-5.1,-15.5,0.8,-4
'0:02.166',-5.4,-15.5,1,-4.3
'0:02.167',-5.8,-15.4,1.1,-4.6
'0:02.168',-6.3,-15.4,1.3,-4.8
'0:02.169',-6.7,-15.4,1.5,-5
'0:02.170',-7.3,-15.4,1.7,-5.2
'0:02.171',-7.8,-15.3,1.9,-5.2
'0:02.172',-8.4,-15.1,2,-5.2
'0:02.173',-8.8,-14.8,2.2,-5
'0:02.174',-9.1,-14.4,2.2,-4.8
'0:02.175',-9.2,-13.9,2.3,-4.6
'0:02.176',-9,-13.3,2.2,-4.6
'0:02.177',-8.6,-12.5,2.1,-4.6
'0:02.178',-7.8,-11.8,1.8,-4.7
'0:02.179',-6.7,-11.1,1.6,-4.9
'0:02.180',-5.4,-10.3,1.2,-5.3
'0:02.181',-4,-9.6,0.9,-6
'0:02.182',-2.4,-8.8,0.5,-6.9
'0:02.183',-0.9,-8,0.3,-7.8
'0:02.184',0.5,-7.3,0.2,-8.9
'0:02.185',1.6,-6.5,0.2,-10
'0:02.186',2.5,-5.6,0.4,-11
'0:02.187',3.1,-4.8,0.7,-12
'0:02.188',3.5,-4,0.8,-12.7
'0:02.189',3.9,-3.4,0.7,-12.9
'0:02.190',4.1,-2.9,0.4,-12.6
'0:02.191',4.1,-2.6,0.2,-11.9
'0:02.192',3.6,-2.3,0.1,-11
'0:02.193',2.7,-2.1,0.2,-10.1
'0:02.194',1.4,-2,0.5,-9.1
'0:02.195',-0.1,-1.9,0.9,-8
'0:02.196',-1.5,-1.9,1.3,-6.9
'0:02.197',-2.7,-1.8,1.7,-5.6
'0:02.198',-3.5,-1.8,1.9,-4.2
'0:02.199',-4,-1.7,2,-2.8
'0:02.200',-4.2,-1.5,1.9,-1.5
'0:02.201',-4.3,-1.4,1.8,-0.3
'0:02.202',-4.2,-1.4,1.6,0.8
'0:02.203',-4.1,-1.4,1.5,1.8
'0:02.204',-4,-1.4,1.3,2.7
'0:02.205',-3.9,-1.5,1.3,3.3
'0:02.206',-3.9,-1.5,1.2,3.7
'0:02.207',-3.9,-1.7,1.2,3.9
'0:02.208',-3.9,-1.8,1.2,3.9
'0:02.209',-3.9,-2,1.2,3.8
'0:02.210',-3.8,-2.1,1.1,3.7
'0:02.211',-3.7,-2.1,1.1,3.5
'0:02.212',-3.6,-2.1,1,3.3
'0:02.213',-3.5,-2.1,0.9,2.9
'0:02.214',-3.3,-2.1,0.9,2.5
'0:02.215',-3.2,-2.1,0.8,2
'0:02.216',-3,-2.1,0.8,1.5
'0:02.217',-3,-2.1,0.8,1.1
'0:02.218',-3,-2,0.8,0.7
'0:02.219',-3.1,-1.8,0.8,0.4
'0:02.220',-3.1,-1.6,0.7,0.1
'0:02.221',-3.1,-1.4,0.7,-0.2
'0:02.222',-3,-1.2,0.7,-0.4
'0:02.223',-2.9,-1,0.7,-0.6
'0:02.224',-2.8,-0.9,0.7,-0.7
'0:02.225',-2.7,-0.8,0.7,-0.7
'0:02.226',-2.6,-0.8,0.6,-0.7
'0:02.227',-2.4,-0.8,0.5,-0.7
'0:02.228',-2.3,-0.9,0.5,-0.7
'0:02.229',-2.1,-1.1,0.4,-0.6
'0:02.230',-2,-1.4,0.3,-0.6
'0:02.231',-1.8,-1.8,0.3,-0.5
'0:02.232',-1.6,-2.1,0.3,-0.4
'0:02.233',-1.5,-2.3,0.3,-0.4
'0:02.234',-1.5,-2.2,0.4,-0.5
'0:02.235',-1.4,-2,0.4,-0.5
'0:02.236',-1.4,-1.9,0.4,-0.5
'0:02.237',-1.4,-2.2,0.4,-0.4
'0:02.238',-1.4,-2.6,0.4,-0.3
'0:02.239',-1.4,-3,0.4,-0.4
'0:02.240',-1.4,-3.1,0.4,-0.5
'0:02.241',-1.5,-2.9,0.5,-0.7
'0:02.242',-1.5,-2.6,0.5,-0.9
'0:02.243',-1.5,-2.3,0.6,-1.1
'0:02.244',-1.4,-2.1,0.7,-1.4
'0:02.245',-1.3,-1.8,0.6,-1.7
'0:02.246',-1.1,-1.5,0.6,-2.1
'0:02.247',-1,-1.2,0.5,-2.4
'0:02.248',-0.9,-0.9,0.6,-2.6
'0:02.249',-0.8,-0.8,0.7,-2.6
'0:02.250',-0.8,-0.5,0.7,-2.7
'0:02.251',-0.9,-0.3,0.5,-2.7
'0:02.252',-0.9,-0.1,0.4,-2.7
'0:02.253',-1,0.1,0.2,-2.3
'0:02.254',-1,0.1,0.2,-1.7
'0:02.255',-1.1,-0.1,0.2,-1
'0:02.256',-1.1,-0.2,0.2,-0.8
'0:02.257',-1.1,-0.3,0.2,-1
'0:02.258',-1.1,-0.3,0.1,-1.4
'0:02.259',-1,-0.3,0.1,-1.5
'0:02.260',-0.9,-0.4,0,-0.8
'0:02.261',-0.9,-0.7,0,0.5
'0:02.262',-0.8,-0.9,0,1.7
'0:02.263',-0.6,-1.1,0,2.3
'0:02.264',-0.5,-1.4,-0.1,2.3
'0:02.265',-0.3,-1.5,-0.1,2
'0:02.266',-0.1,-1.6,0,1.9
'0:02.267',0,-1.8,0.1,2
'0:02.268',0.1,-2,0.2,2.2
'0:02.269',0.2,-2.2,0.2,2.1
'0:02.270',0.4,-2.4,0.3,1.9
'0:02.271',0.5,-2.6,0.3,1.5
'0:02.272',0.5,-2.8,0.3,1.3
'0:02.273',0.5,-2.9,0.3,1
'0:02.274',0.3,-3,0.3,0.7
'0:02.275',-0.1,-3,0.3,0.4
'0:02.276',-0.4,-2.9,0.3,0
'0:02.277',-0.7,-2.7,0.3,-0.4
'0:02.278',-1,-2.6,0.2,-0.8
'0:02.279',-1.4,-2.4,0.2,-1.2
'0:02.280',-1.8,-2.2,0.1,-1.6
'0:02.281',-2.1,-2,0.1,-2
'0:02.282',-2.3,-1.8,0,-2.3
'0:02.283',-2.4,-1.7,-0.1,-2.7
'0:02.284',-2.5,-1.6,-0.1,-3
'0:02.285',-2.6,-1.6,-0.2,-3.3
'0:02.286',-2.5,-1.5,-0.3,-3.5
'0:02.287',-2.5,-1.5,-0.3,-3.8
'0:02.288',-2.4,-1.5,-0.3,-4
'0:02.289',-2.3,-1.5,-0.4,-4.1
'0:02.290',-2.1,-1.6,-0.3,-4.2
'0:02.291',-1.8,-1.7,-0.3,-4.3
'0:02.292',-1.4,-1.8,-0.3,-4.2
'0:02.293',-1,-1.9,-0.2,-4.1
'0:02.294',-0.6,-1.9,-0.2,-3.9
'0:02.295',-0.2,-1.9,-0.1,-3.5
'0:02.296',0.3,-1.9,-0.1,-3.1
'0:02.297',0.8,-1.8,0,-2.7
'0:02.298',1.4,-1.8,0,-2.4
'0:02.299',2.1,-1.9,0.1,-2.1
'0:02.300',2.6,-2,0.1,-1.8
'0:02.301',2.9,-2.1,0.2,-1.6
'0:02.302',3.1,-2.3,0.2,-1.4
'0:02.303',3.2,-2.4,0.3,-1.2
'0:02.304',3.3,-2.5,0.3,-1.1
'0:02.305',3.4,-2.6,0.4,-1.2
'0:02.306',3.3,-2.7,0.4,-1.3
'0:02.307',3.2,-2.7,0.5,-1.4
'0:02.308',3.1,-2.7,0.5,-1.4
'0:02.309',3,-2.7,0.5,-1.4
'0:02.310',3.1,-2.7,0.5,-1.4
'0:02.311',3.2,-2.8,0.6,-1.4
'0:02.312',3.3,-2.8,0.7,-1.4
'0:02.313',3.3,-2.8,0.7,-1.4
'0:02.314',3.2,-2.7,0.8,-1.4
'0:02.315',3,-2.6,0.9,-1.3
'0:02.316',2.7,-2.4,0.9,-1.3
'0:02.317',2.4,-2.4,1,-1.2
'0:02.318',1.9,-2.6,1,-1.1
'0:02.319',1.4,-2.8,1.1,-1
'0:02.320',0.9,-3.1,1.2,-0.9
'0:02.321',0.4,-3.2,1.3,-0.8
'0:02.322',0,-3.3,1.4,-0.8
'0:02.323',-0.5,-3.3,1.5,-0.7
'0:02.324',-0.9,-3.4,1.6,-0.6
'0:02.325',-1.3,-3.7,1.7,-0.5
'0:02.326',-1.5,-4,1.8,-0.5
'0:02.327',-1.7,-4.2,1.9,-0.4
'0:02.328',-1.9,-4.4,2.1,-0.4
'0:02.329',-2.1,-4.6,2.2,-0.3
'0:02.330',-2.2,-4.7,2.4,-0.2
'0:02.331',-2.4,-4.8,2.5,-0.2
'0:02.332',-2.6,-5,2.6,-0.2
'0:02.333',-2.9,-5.1,2.7,-0.4
'0:02.334',-3.3,-5.2,2.8,-0.6
'0:02.335',-3.7,-5.3,2.9,-0.7
'0:02.336',-4.2,-5.4,2.9,-0.8
'0:02.337',-4.5,-5.6,3,-0.8
'0:02.338',-4.8,-5.8,3,-0.9
'0:02.339',-5.2,-6.1,3.1,-1
'0:02.340',-5.5,-6.4,3.2,-1.2
'0:02.341',-5.8,-6.6,3.3,-1.3
'0:02.342',-6.1,-6.5,3.3,-1.4
'0:02.343',-6.3,-6.5,3.4,-1.6
'0:02.344',-6.5,-6.4,3.5,-1.7
'0:02.345',-6.6,-6.5,3.6,-1.8
'0:02.346',-7,-6.7,3.8,-2
'0:02.347',-7.3,-7,3.8,-2.2
'0:02.348',-7.8,-7.2,3.9,-2.3
'0:02.349',-8.3,-7.4,4,-2.5
'0:02.350',-8.9,-7.7,4.1,-2.7
'0:02.351',-9.4,-7.9,4.1,-2.8
'0:02.352',-10.1,-8.2,4.2,-2.9
'0:02.353',-10.8,-8.5,4.3,-3
'0:02.354',-11.5,-8.9,4.3,-3.1
'0:02.355',-12.3,-9.1,4.4,-3.2
'0:02.356',-13.1,-9.2,4.4,-3.3
'0:02.357',-13.9,-9.2,4.5,-3.4
'0:02.358',-14.6,-9.2,4.5,-3.5
'0:02.359',-15.4,-9.2,4.6,-3.6
'0:02.360',-16.1,-9.1,4.7,-3.6
'0:02.361',-16.7,-8.8,4.7,-3.6
'0:02.362',-17.3,-8.5,4.8,-3.6
'0:02.363',-17.8,-8.2,4.9,-3.6
'0:02.364',-18.3,-7.9,5,-3.5
'0:02.365',-18.6,-7.8,5.1,-3.3
'0:02.366',-18.8,-7.7,5.3,-3.2
'0:02.367',-19,-7.7,5.4,-3
'0:02.368',-19.1,-7.6,5.5,-3
'0:02.369',-19.3,-7.5,5.7,-3
'0:02.370',-19.4,-7.5,5.8,-3
'0:02.371',-19.5,-7.5,5.9,-3
'0:02.372',-19.6,-7.6,6.1,-3
'0:02.373',-19.7,-7.7,6.2,-3
'0:02.374',-19.8,-7.7,6.3,-3
'0:02.375',-19.9,-7.6,6.4,-3
'0:02.376',-20,-7.6,6.5,-3
'0:02.377',-20.1,-7.6,6.6,-3
'0:02.378',-20.2,-7.8,6.7,-2.9
'0:02.379',-20.3,-7.9,6.7,-2.8
'0:02.380',-20.3,-8.1,6.7,-2.7
'0:02.381',-20.5,-8.2,6.6,-2.6
'0:02.382',-20.6,-8.3,6.6,-2.6
'0:02.383',-20.7,-8.3,6.5,-2.6
'0:02.384',-20.7,-8.4,6.4,-2.6
'0:02.385',-20.6,-8.5,6.4,-2.8
'0:02.386',-20.4,-8.7,6.3,-3
'0:02.387',-20.2,-8.8,6.3,-3.3
'0:02.388',-19.8,-8.9,6.3,-3.7
'0:02.389',-19.4,-8.9,6.2,-4
'0:02.390',-18.9,-9,6.1,-4.3
'0:02.391',-18.3,-9.1,6,-4.6
'0:02.392',-17.7,-9.3,5.9,-4.8
'0:02.393',-17.1,-9.4,5.8,-5
'0:02.394',-16.6,-9.5,5.7,-5.2
'0:02.395',-16.1,-9.6,5.5,-5.2
'0:02.396',-15.6,-9.8,5.3,-5.2
'0:02.397',-15.2,-10,5.1,-4.9
'0:02.398',-14.7,-10.2,4.9,-4.7
'0:02.399',-14.4,-10.5,4.7,-4.5
'0:02.400',-14,-10.7,4.6,-4.3
'0:02.401',-13.6,-10.9,4.4,-4.1
'0:02.402',-13.3,-11,4.2,-4
'0:02.403',-13,-11.1,4,-3.8
'0:02.404',-12.8,-11.1,3.8,-3.6
'0:02.405',-12.5,-11,3.6,-3.5
'0:02.406',-12.2,-10.7,3.4,-3.5
'0:02.407',-12,-10.3,3.3,-3.5
'0:02.408',-11.7,-9.8,3.2,-3.5
'0:02.409',-11.6,-9.3,3,-3.4
'0:02.410',-11.5,-8.8,2.9,-3.4
'0:02.411',-11.4,-8.4,2.8,-3.3
'0:02.412',-11.3,-7.8,2.7,-3.4
'0:02.413',-11.1,-7.3,2.7,-3.4
'0:02.414',-10.9,-6.7,2.7,-3.6
'0:02.415',-10.7,-6,2.7,-3.7
'0:02.416',-10.5,-5.4,2.6,-3.8
'0:02.417',-10.2,-4.8,2.4,-3.9
'0:02.418',-9.8,-4.3,2.3,-3.9
'0:02.419',-9.4,-3.9,2.2,-3.9
'0:02.420',-9,-3.5,2.1,-3.9
'0:02.421',-8.6,-3.2,2,-4
'0:02.422',-8.2,-2.8,1.9,-4
'0:02.423',-7.8,-2.4,1.8,-3.9
'0:02.424',-7.3,-2.1,1.7,-3.8
'0:02.425',-6.7,-1.8,1.6,-3.5
'0:02.426',-6,-1.6,1.4,-3.2
'0:02.427',-5.4,-1.4,1.2,-2.9
'0:02.428',-4.7,-1.2,1,-2.5
'0:02.429',-4.1,-1,0.8,-2.1
'0:02.430',-3.5,-1,0.6,-1.7
'0:02.431',-3,-0.9,0.4,-1.2
'0:02.432',-2.5,-0.9,0.3,-0.7
'0:02.433',-2,-0.9,0.2,-0.1
'0:02.434',-1.6,-0.6,0.1,0.4
'0:02.435',-1.1,-0.4,0,0.8
'0:02.436',-0.8,-0.2,-0.1,1.3
'0:02.437',-0.5,-0.3,-0.2,1.6
'0:02.438',-0.4,-0.5,-0.2,2
'0:02.439',-0.2,-0.7,-0.3,2.2
'0:02.440',-0.1,-0.8,-0.4,2.3
'0:02.441',-0.1,-0.7,-0.5,2.3
'0:02.442',0,-0.6,-0.7,2.1
'0:02.443',0,-0.5,-0.7,1.8
'0:02.444',-0.1,-0.5,-0.8,1.4
'0:02.445',-0.2,-0.5,-0.9,1.1
'0:02.446',-0.3,-0.4,-1,0.8
'0:02.447',-0.4,-0.2,-1.1,0.5
'0:02.448',-0.3,0,-1.1,0.2
'0:02.449',-0.1,0.2,-1.2,-0.1
'0:02.450',0.1,0.4,-1.2,-0.4
'0:02.451',0.5,0.6,-1.3,-0.5
'0:02.452',0.9,0.8,-1.5,-0.6
'0:02.453',1.5,1,-1.6,-0.7
'0:02.454',2.2,1.1,-1.7,-0.7
'0:02.455',2.8,1.2,-1.8,-0.8
'0:02.456',3.2,1.3,-1.8,-0.9
'0:02.457',3.5,1.5,-1.9,-0.8
'0:02.458',3.8,1.8,-2,-0.8
'0:02.459',3.9,2,-2,-0.7
'0:02.460',4,2.2,-2,-0.8
'0:02.461',4,2.4,-1.9,-0.9
'0:02.462',3.8,2.5,-1.9,-1
'0:02.463',3.4,2.6,-1.9,-1.1
'0:02.464',3,2.7,-1.9,-1.1
'0:02.465',2.8,2.8,-1.8,-1
'0:02.466',2.6,2.9,-1.8,-1.1
'0:02.467',2.5,2.9,-1.8,-1.1
'0:02.468',2.4,2.8,-1.8,-1
'0:02.469',2.3,2.7,-1.8,-0.7
'0:02.470',2.3,2.6,-1.8,-0.3
'0:02.471',2.3,2.4,-1.7,0.1
'0:02.472',2.5,2.3,-1.7,0.5
'0:02.473',2.7,2.1,-1.6,1
